pl_name,sy_mnum,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_rvamp
GJ 676 A c,0,2016,13921.42302046,12.300,4271.00959,12.600000,89.694
GJ 676 A d,0,2012,3.60075682,1.770,3.79832,3.760000,2.207
GJ 676 A e,0,2012,35.47357709,2.480,6.69167,2.410000,1.804
GJ 680 b,0,2022,17281.66513958,12.000,7764.94529,24.700000,132.979
GJ 682 b,0,2014,17.47800000,1.930,4.40000,3.360000,2.990
GJ 682 c,0,2014,57.32000000,2.890,8.70000,1.980000,3.980
GJ 685 b,0,2019,24.16000000,2.950,9.00000,1.930000,3.000
GJ 687 b,0,2014,38.14200000,4.320,17.20000,1.170000,6.140
GJ 687 c,0,2020,727.56200000,4.140,16.00000,1.240000,2.440
GJ 720 A b,0,2021,19.46600000,3.770,13.64000,1.400000,4.720
GJ 740 b,0,2021,2.37756000,1.530,2.96000,4.540000,2.130
GJ 832 b,0,2008,3657.00000000,14.000,216.00000,0.433000,15.400
GJ 849 b,0,2006,1915.00000000,13.900,286.04557,0.585000,24.400
GJ 849 c,0,2014,7068.00000000,14.000,223.11554,0.447000,19.640
GJ 86 b,0,1999,15.76491000,12.900,1404.80860,3.600000,376.700
GJ 876 b,0,1998,61.11660000,13.300,723.22350,1.690000,214.000
GJ 876 c,0,2000,30.08810000,14.000,226.98460,0.455000,88.340
GJ 876 d,0,2005,1.93778000,2.510,6.83000,2.370000,6.560
GJ 876 e,0,2010,124.26000000,3.920,14.60000,1.330000,3.420
GJ 887 b,0,2020,9.26200000,1.880,4.20000,3.470000,2.100
GJ 887 c,0,2020,21.78900000,2.670,7.60000,2.190000,2.800
GJ 896 A b,0,2022,284.39000000,13.300,718.29220,1.680000,
GJ 9066 c,0,2020,771.36000000,9.600,66.74397,0.415000,18.840
GJ 96 b,0,2018,73.94000000,4.670,19.66000,1.060000,4.690
GJ 9689 b,0,2020,18.27000000,3.070,9.65000,1.830000,3.480
GJ 9714 b,0,2022,19240.75467009,12.500,3051.24439,8.580000,39.198
GJ 9827 b,0,2017,1.20898190,1.577,4.91000,6.930000,4.110
GJ 9827 c,0,2017,3.64809570,1.241,0.84000,2.420000,0.490
GJ 9827 d,0,2017,6.20146980,2.022,4.04000,2.690000,1.970
GPX-1 b,0,2021,1.74457900,16.477,6261.21962,8.222423,2310.000
GQ Lup b,0,2004,,33.600,6356.00000,0.921000,
GSC 06214-00210 b,0,2010,,20.176,5000.00000,3.350000,
GU Psc b,0,2014,,14.179,3591.30000,6.920000,
Gaia-1 b,0,2022,3.05252400,13.776,533.95172,1.120000,243.000
Gaia-2 b,0,2022,3.69152240,14.818,259.66581,0.439000,107.100
Gl 378 b,0,2019,3.82200000,3.660,13.02000,1.460000,7.960
Gl 49 b,0,2019,13.85080000,2.240,5.63000,2.750000,2.520
Gl 686 b,0,2018,15.53000000,2.460,6.62400,2.450000,3.004
HAT-P-1 b,0,2006,4.46529976,14.785,166.86075,0.282000,58.900
HAT-P-11 b,0,2008,4.88780244,4.360,26.69772,1.680000,10.420
HAT-P-11 c,0,2018,3407.00000000,13.300,731.00900,1.710000,30.900
HAT-P-12 b,0,2009,3.21305980,10.749,67.05900,0.319200,35.800
HAT-P-13 b,0,2009,2.91625000,14.258,270.46200,0.362000,106.040
HAT-P-13 c,0,2009,446.27000000,12.300,4538.42100,13.400000,440.000
HAT-P-14 b,0,2010,4.62767000,15.917,1093.33520,1.560000,219.000
HAT-P-15 b,0,2010,10.86350000,11.882,616.59020,1.960000,180.600
HAT-P-16 b,0,2010,2.77596000,14.448,1332.60500,2.420000,531.100
HAT-P-17 b,0,2010,10.33852000,11.769,184.34140,0.640000,58.400
HAT-P-17 c,0,2010,5584.00000000,13.100,1080.60000,2.640000,48.800
HAT-P-18 b,0,2010,5.50802300,11.153,62.61000,0.250000,27.100
HAT-P-19 b,0,2010,4.00877800,12.689,92.80200,0.250000,42.000
HAT-P-2 b,0,2007,5.63351580,10.660,2765.12100,7.290000,953.300
HAT-P-20 b,0,2010,2.87531700,9.718,2302.89900,13.780000,1246.000
HAT-P-21 b,0,2010,4.12448000,12.442,1547.83210,4.600000,548.300
HAT-P-22 b,0,2010,3.21222000,12.890,785.04010,2.140000,313.300
HAT-P-23 b,0,2010,1.21288000,12.218,425.89220,1.406000,368.500
HAT-P-24 b,0,2010,3.35524000,14.572,238.37250,0.440000,83.000
HAT-P-25 b,0,2010,3.65281514,12.722,180.84527,0.483000,74.500
HAT-P-26 b,0,2010,4.23452000,7.062,22.24810,0.400000,8.500
HAT-P-27 b,0,2011,3.03957700,11.430,197.05000,0.760000,91.200
HAT-P-28 b,0,2011,3.25721500,13.585,198.95300,0.440000,84.700
HAT-P-29 b,0,2011,5.72319000,13.115,279.69040,0.790000,78.300
HAT-P-3 b,0,2007,2.89970000,10.536,206.58950,0.855000,89.100
HAT-P-30 b,0,2011,2.81060000,16.141,263.79890,0.309000,88.100
HAT-P-31 b,0,2011,5.00542000,12.218,721.47410,2.180000,232.500
HAT-P-32 b,0,2011,2.15000820,22.194,216.12440,0.108000,99.000
HAT-P-33 b,0,2011,3.47447000,20.737,292.40360,0.200000,82.700
HAT-P-34 b,0,2011,5.45265400,13.417,1058.37390,2.500000,343.000
HAT-P-35 b,0,2011,3.64670600,14.930,335.62848,0.550000,120.900
HAT-P-36 b,0,2011,1.32734683,14.314,587.41341,1.175000,334.700
HAT-P-37 b,0,2011,2.79743600,13.204,371.52800,0.890000,177.700
HAT-P-38 b,0,2012,4.64038200,9.247,84.85700,0.590000,35.400
HAT-P-39 b,0,2012,3.54387000,17.609,190.37200,0.190000,63.600
HAT-P-4 b,0,2007,3.05653600,14.280,213.25500,0.403000,81.100
HAT-P-40 b,0,2012,4.45724000,17.038,152.55840,0.150000,58.100
HAT-P-41 b,0,2012,2.69405000,22.978,378.21770,0.204000,92.500
HAT-P-42 b,0,2012,4.64187800,14.348,331.80100,0.610000,113.500
HAT-P-43 b,0,2012,3.33264140,13.630,210.39500,0.390000,87.700
HAT-P-44 b,0,2014,4.30121900,13.922,111.87100,0.230000,45.900
HAT-P-44 c,0,2014,872.20000000,13.000,1271.30000,3.180000,99.000
HAT-P-45 b,0,2014,3.12899200,15.984,283.49200,0.380000,106.600
HAT-P-46 b,0,2014,4.46312900,14.392,156.68400,0.280000,52.200
HAT-P-49 b,0,2014,2.69155000,17.822,699.22600,0.750000,188.700
HAT-P-5 b,0,2007,2.78849000,13.563,311.47340,0.642000,138.000
HAT-P-50 b,0,2015,3.12201090,14.437,429.07050,0.780000,161.300
HAT-P-51 b,0,2015,4.21802780,14.493,98.20947,0.178000,39.500
HAT-P-52 b,0,2015,2.75359530,11.310,259.98494,0.980000,128.400
HAT-P-53 b,0,2015,1.96162410,14.773,471.65972,0.800000,226.800
HAT-P-54 b,0,2015,3.79984700,10.581,241.55080,1.118000,132.600
HAT-P-55 b,0,2015,3.58524670,13.249,184.97706,0.435000,76.700
HAT-P-56 b,0,2015,2.79083000,16.926,734.18730,0.750000,262.000
HAT-P-57 b,0,2015,2.46530000,19.504,448.14030,0.332000,215.200
HAT-P-58 b,0,2021,4.01383790,14.930,118.23217,0.194000,46.400
HAT-P-59 b,0,2021,4.14197710,12.588,489.45575,1.347000,192.600
HAT-P-6 b,0,2007,3.85298000,16.589,419.53560,0.558000,115.500
HAT-P-60 b,0,2021,4.79478130,18.282,182.43351,0.164000,54.100
