pl_name,sy_mnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim
Kepler-1292 b,0,2016,3.27646405,0.00001548,-0.00001548,0,1.820,0.290,-0.140,0,3.97000,,,0,3.620000,,,0,0.01801,0.00097,-0.00054,0,,,,
Kepler-1293 b,0,2016,5.57654784,0.00004024,-0.00004024,0,0.970,0.420,-0.150,0,0.87100,,,0,5.240000,,,0,0.00712,0.00028,-0.00032,0,,,,
Kepler-1294 b,0,2016,115.68622580,0.00084450,-0.00084450,0,3.190,0.540,-0.310,0,10.30000,,,0,1.740000,,,0,0.02982,0.00105,-0.00100,0,,,,
Kepler-1295 b,0,2016,3.81371974,0.00002278,-0.00002278,0,1.550,0.200,-0.120,0,3.02000,,,0,4.460000,,,0,0.01648,0.00098,-0.00082,0,,,,
Kepler-1296 b,0,2016,8.38398650,0.00008648,-0.00008648,0,0.910,0.090,-0.060,0,0.69300,,,0,5.050000,,,0,0.00972,0.00063,-0.00033,0,,,,
Kepler-1297 b,0,2016,1.68189002,0.00001032,-0.00001032,0,0.970,0.160,-0.090,0,0.87100,,,0,5.240000,,,0,0.00865,0.00041,-0.00032,0,,,,
Kepler-1298 b,0,2016,7.12811928,0.00004863,-0.00004863,0,1.310,0.230,-0.230,0,2.27000,,,0,5.550000,,,0,0.00621,0.00028,-0.00013,0,,,,
Kepler-1299 b,0,2016,19.94008740,0.00014570,-0.00014570,0,2.980,0.660,-0.420,0,9.17000,,,0,1.900000,,,0,0.02998,0.00502,-0.00365,0,,,,
Kepler-130 b,0,2014,8.45745800,0.00003900,-0.00003900,0,1.020,0.040,-0.040,0,1.04000,,,0,5.390000,,,0,0.00849,0.00020,-0.00020,0,,,,
Kepler-130 c,0,2014,27.50868000,0.00006000,-0.00007000,0,2.900,0.250,-0.250,0,8.75000,,,0,1.970000,,,0,0.02300,0.00100,-0.00100,0,,,,
Kepler-130 d,0,2014,87.51790500,0.00074400,-0.00074400,0,1.640,0.160,-0.160,0,3.33000,,,0,4.150000,,,0,0.00901,0.00044,-0.00044,0,,,,
Kepler-1300 b,0,2016,22.24190920,0.00024540,-0.00024540,0,1.370,0.300,-0.310,0,2.45000,,,0,5.240000,,,0,0.00741,0.00043,-0.00020,0,,,,
Kepler-1301 b,0,2016,9.08237046,0.00004331,-0.00004331,0,1.400,0.130,-0.080,0,2.54000,,,0,5.090000,,,0,0.01633,0.00107,-0.00059,0,,,,
Kepler-1302 b,0,2016,8.83922659,0.00005866,-0.00005866,0,1.430,0.150,-0.090,0,2.63000,,,0,4.940000,,,0,0.01553,0.00118,-0.00064,0,,,,
Kepler-1303 b,0,2016,7.56127224,0.00004120,-0.00004120,0,1.420,0.350,-0.140,0,2.60000,,,0,4.990000,,,0,0.01279,0.00071,-0.00049,0,,,,
Kepler-1304 b,0,2016,16.12888530,0.00011910,-0.00011910,0,2.290,0.190,-0.530,0,5.86000,,,0,2.680000,,,0,0.02576,0.00127,-0.00586,0,,,,
Kepler-1305 b,0,2016,13.56309720,0.00013850,-0.00013850,0,1.880,0.350,-0.190,0,4.19000,,,0,3.470000,,,0,0.01794,0.00106,-0.00062,0,,,,
Kepler-1306 b,0,2016,16.29595382,0.00007404,-0.00007404,0,1.910,0.450,-0.180,0,4.31000,,,0,3.400000,,,0,0.01848,0.00117,-0.00059,0,,,,
Kepler-1307 b,0,2016,18.01621096,0.00009522,-0.00009522,0,2.470,0.660,-0.270,0,6.66000,,,0,2.430000,,,0,0.02121,0.00096,-0.00077,0,,,,
Kepler-1308 b,0,2016,2.10433812,0.00000424,-0.00000424,0,0.520,0.060,-0.050,0,0.09330,,,0,3.650000,,,0,0.01388,0.00123,-0.00040,0,,,,
Kepler-1309 b,0,2016,28.84326470,0.00026520,-0.00026520,0,2.370,0.200,-0.200,0,6.21000,,,0,2.560000,,,0,0.02653,0.00128,-0.00143,0,,,,
Kepler-131 b,0,2014,16.09200000,,,0,2.410,0.200,-0.200,0,16.13000,3.50000,-3.50000,0,6.000000,1.980000,-1.980000,0,0.02126,,,0,3.950,0.800,-0.800,0
Kepler-131 c,0,2014,25.51690000,,,0,0.840,0.070,-0.070,0,8.25000,5.90000,-5.90000,0,77.700000,55.000000,-55.000000,0,0.00739,,,0,3.580,0.900,-0.900,0
Kepler-1310 b,0,2016,0.67933627,0.00000072,-0.00000072,0,1.440,0.160,-0.120,0,2.67000,,,0,4.910000,,,0,0.01471,0.00041,-0.00038,0,,,,
Kepler-1311 b,0,2016,11.17269940,0.00013870,-0.00013870,0,1.240,0.250,-0.260,0,2.07000,,,0,5.970000,,,0,0.00786,0.00032,-0.00032,0,,,,
Kepler-1311 c,0,2016,2.53573424,0.00001018,-0.00001018,0,1.220,0.280,-0.240,0,1.98000,,,0,5.990000,,,0,0.00778,0.00035,-0.00014,0,,,,
Kepler-1311 d,0,2021,197.51100160,,,0,9.658,,,0,67.50000,,,0,0.412000,,,0,0.05347,0.00028,-0.00057,0,,,,
Kepler-1312 b,0,2016,5.44832529,0.00000735,-0.00000735,0,2.100,0.080,-0.070,0,5.06000,,,0,3.000000,,,0,0.02109,0.00062,-0.00021,0,,,,
Kepler-1312 c,0,2021,1.11611998,,,0,1.027,,,0,1.07000,,,0,5.420000,,,0,0.00983,0.00058,-0.00023,0,,,,
Kepler-1313 b,0,2016,3.83309118,0.00000534,-0.00000534,0,1.760,0.060,-0.080,0,3.75000,,,0,3.780000,,,0,0.01950,0.00034,-0.00068,0,,,,
Kepler-1314 b,0,2016,5.42474928,0.00000397,-0.00000397,0,5.110,0.190,-0.190,0,22.90000,,,0,0.943000,,,0,0.08038,0.00158,-0.00068,0,,,,
Kepler-1315 b,0,2016,0.84338011,0.00000082,-0.00000082,0,1.380,0.080,-0.060,0,2.48000,,,0,5.190000,,,0,0.01677,0.00069,-0.00027,0,,,,
Kepler-1315 c,0,2021,6.56606007,,,0,1.844,,,0,4.06000,,,0,3.560000,,,0,0.01838,0.00075,-0.00058,0,,,,
Kepler-1316 b,0,2016,87.97321360,0.00052310,-0.00052310,0,3.540,0.550,-0.380,0,12.30000,,,0,1.520000,,,0,0.02920,0.00068,-0.00027,0,,,,
Kepler-1317 b,0,2016,0.56887443,0.00000060,-0.00000060,0,1.560,0.090,-0.080,0,3.05000,,,0,4.410000,,,0,0.01751,0.00060,-0.00026,0,,,,
Kepler-1318 b,0,2016,213.25766300,0.00105100,-0.00105100,0,3.110,0.170,-0.150,0,9.85000,,,0,1.800000,,,0,0.04095,0.00183,-0.00076,0,,,,
Kepler-1319 b,0,2016,2.88676265,0.00000337,-0.00000337,0,1.340,0.720,-0.080,0,2.36000,,,0,5.390000,,,0,0.02308,0.01238,-0.00109,0,,,,
Kepler-132 b,0,2014,6.17819600,0.00002200,-0.00002200,0,1.210,0.240,-0.240,0,1.92000,,,0,5.960000,,,0,0.01087,0.00028,-0.00028,0,,,,
Kepler-132 c,0,2014,6.41491400,0.00001900,-0.00001900,0,1.280,0.250,-0.250,0,2.18000,,,0,5.710000,,,0,0.01135,0.00026,-0.00026,0,,,,
Kepler-132 d,0,2014,18.01019900,0.00006700,-0.00006700,0,1.550,0.300,-0.300,0,3.02000,,,0,4.460000,,,0,0.01235,0.00034,-0.00023,0,,,,
Kepler-132 e,0,2016,110.28693740,0.00087800,-0.00087800,0,1.180,0.160,-0.120,0,1.76000,,,0,5.890000,,,0,0.00995,0.00045,-0.00055,0,,,,
Kepler-1320 b,0,2016,0.86838653,0.00000116,-0.00000116,0,1.700,0.070,-0.110,0,3.53000,,,0,3.950000,,,0,0.02147,0.00025,-0.00116,0,,,,
Kepler-1321 b,0,2016,11.12830484,0.00002043,-0.00002043,0,4.920,0.600,-0.610,0,21.50000,,,0,0.992000,,,0,0.08596,0.00093,-0.00864,0,,,,
